text,cleaning,case_folding,tokenizing,normalisasi,label
"Oi tod, gw juara juara mpl s 17",Oi tod gw juara juara mpl s,oi tod gw juara juara mpl s,"['oi', 'tod', 'gw', 'juara', 'juara', 'mpl', 's']","['oi', 'tod', 'gue', 'juara', 'juara', 'mpl', 's']",Non-Toxic
"Terharu gue sumpah😊 akhirnya juara, dulu di hina sebagai kelinci percobaan, skrng menjadi sang juara
Congratulation BTR🎉  untuk Sonic kalian hebat ❤",Terharu gue sumpah akhirnya juara dulu di hina sebagai kelinci percobaan skrng menjadi sang juara Congratulation BTR untuk Sonic kalian hebat,terharu gue sumpah akhirnya juara dulu di hina sebagai kelinci percobaan skrng menjadi sang juara congratulation btr untuk sonic kalian hebat,"['terharu', 'gue', 'sumpah', 'akhirnya', 'juara', 'dulu', 'di', 'hina', 'sebagai', 'kelinci', 'percobaan', 'skrng', 'menjadi', 'sang', 'juara', 'congratulation', 'btr', 'untuk', 'sonic', 'kalian', 'hebat']","['terharu', 'gue', 'sumpah', 'akhirnya', 'juara', 'dulu', 'di', 'hina', 'sebagai', 'kelinci', 'percobaan', 'skrng', 'menjadi', 'sang', 'juara', 'congratulation', 'btr', 'untuk', 'sonic', 'kalian', 'hebat']",Non-Toxic
terimakasih BTR sudah memecahkan teori poster dimpl id,terimakasih BTR sudah memecahkan teori poster dimpl id,terimakasih btr sudah memecahkan teori poster dimpl id,"['terimakasih', 'btr', 'sudah', 'memecahkan', 'teori', 'poster', 'dimpl', 'id']","['terimakasih', 'btr', 'sudah', 'memecahkan', 'teori', 'poster', 'dimpl', 'id']",Non-Toxic
"Hertod bikin video baru pasti ntar judulnya ""oi tot gw abis aja ngejuarain Tim btr"" 😂",Hertod bikin video baru pasti ntar judulnya oi tot gw abis aja ngejuarain Tim btr,hertod bikin video baru pasti ntar judulnya oi tot gw abis aja ngejuarain tim btr,"['hertod', 'bikin', 'video', 'baru', 'pasti', 'ntar', 'judulnya', 'oi', 'tot', 'gw', 'abis', 'aja', 'ngejuarain', 'tim', 'btr']","['hertod', 'bikin', 'video', 'baru', 'pasti', 'ntar', 'judulnya', 'oi', 'tot', 'gue', 'abis', 'saja', 'ngejuarain', 'tim', 'btr']",Non-Toxic
"Congrats BTR setelah sekian lama,bisa juga dapetin piala mpl season 17 ini",Congrats BTR setelah sekian lamabisa juga dapetin piala mpl season ini,congrats btr setelah sekian lamabisa juga dapetin piala mpl season ini,"['congrats', 'btr', 'setelah', 'sekian', 'lamabisa', 'juga', 'dapetin', 'piala', 'mpl', 'season', 'ini']","['congrats', 'btr', 'setelah', 'sekian', 'lamabisa', 'juga', 'dapetin', 'piala', 'mpl', 'season', 'ini']",Non-Toxic
"Gilaaak the real underdog coo btr

Terseok seok hampir ga lolos playoff, mecahin kutukan di playoff dan mecahin liga tani onic. Congrats btr emang pantes kalian dpet gelar mpl setelah sekian lamanya menunggu🎉",Gilaaak the real underdog coo btr Terseok seok hampir ga lolos playoff mecahin kutukan di playoff dan mecahin liga tani onic Congrats btr emang pantes kalian dpet gelar mpl setelah sekian lamanya menunggu,gilaaak the real underdog coo btr terseok seok hampir ga lolos playoff mecahin kutukan di playoff dan mecahin liga tani onic congrats btr emang pantes kalian dpet gelar mpl setelah sekian lamanya menunggu,"['gilaaak', 'the', 'real', 'underdog', 'coo', 'btr', 'terseok', 'seok', 'hampir', 'ga', 'lolos', 'playoff', 'mecahin', 'kutukan', 'di', 'playoff', 'dan', 'mecahin', 'liga', 'tani', 'onic', 'congrats', 'btr', 'emang', 'pantes', 'kalian', 'dpet', 'gelar', 'mpl', 'setelah', 'sekian', 'lamanya', 'menunggu']","['gilaaak', 'the', 'real', 'underdog', 'coo', 'btr', 'terseok', 'seok', 'hampir', 'tidak', 'lolos', 'playoff', 'mecahin', 'kutukan', 'di', 'playoff', 'dan', 'mecahin', 'liga', 'tani', 'onic', 'congrats', 'btr', 'emang', 'pantes', 'kalian', 'dpet', 'gelar', 'mpl', 'setelah', 'sekian', 'lamanya', 'menunggu']",Non-Toxic
"[ ONIC —VS— BTR ]

[ Before Match ]
• Player Intro 1:31:04

[ Match ]
• Game 1 - Draft 1:45:44 - Start 1:54:59
• Game 2 - Draft 2:25:26 - Start 2:35:44
• Game 3 - Draft 3:26:15 - Start 3:33:47
- Mic Check 4:09:40
• Game 4 - Draft 4:13:23 - Start 4:22:40
• Game 5 - Draft 5:01:13 - Start 5:07:42

[ After Match ]
• Winning Moment 5:20:58
• Champion 5:25:32
────────────────────
— CyanWolfer —",ONIC VS BTR Before Match Player Intro Match Game Draft Start Game Draft Start Game Draft Start Mic Check Game Draft Start Game Draft Start After Match Winning Moment Champion CyanWolfer,onic vs btr before match player intro match game draft start game draft start game draft start mic check game draft start game draft start after match winning moment champion cyanwolfer,"['onic', 'vs', 'btr', 'before', 'match', 'player', 'intro', 'match', 'game', 'draft', 'start', 'game', 'draft', 'start', 'game', 'draft', 'start', 'mic', 'check', 'game', 'draft', 'start', 'game', 'draft', 'start', 'after', 'match', 'winning', 'moment', 'champion', 'cyanwolfer']","['onic', 'vs', 'btr', 'before', 'match', 'player', 'intro', 'match', 'game', 'draft', 'start', 'game', 'draft', 'start', 'game', 'draft', 'start', 'mic', 'check', 'game', 'draft', 'start', 'game', 'draft', 'start', 'after', 'match', 'winning', 'moment', 'champion', 'cyanwolfer']",Non-Toxic
"ikut bangga meski bukan fans BTR, selamat akhirnya bisa juara❤ semoga sukses di MSC nanti BTR & ONIC",ikut bangga meski bukan fans BTR selamat akhirnya bisa juara semoga sukses di MSC nanti BTR ONIC,ikut bangga meski bukan fans btr selamat akhirnya bisa juara semoga sukses di msc nanti btr onic,"['ikut', 'bangga', 'meski', 'bukan', 'fans', 'btr', 'selamat', 'akhirnya', 'bisa', 'juara', 'semoga', 'sukses', 'di', 'msc', 'nanti', 'btr', 'onic']","['ikut', 'bangga', 'meski', 'bukan', 'fans', 'btr', 'selamat', 'akhirnya', 'bisa', 'juara', 'semoga', 'sukses', 'di', 'msc', 'nanti', 'btr', 'onic']",Non-Toxic
Tetap low profile nnael....kami yakin lu bisa dapat mencapai yg lebih tinggi bareng BTR.... senang banget liat momen menang nnael menang tanpa taunt atau gimana......emang cuma butuh kode yg tepat untuk ngeluarin potensi terbaik Eman dan nnael,Tetap low profile nnaelkami yakin lu bisa dapat mencapai yg lebih tinggi bareng BTR senang banget liat momen menang nnael menang tanpa taunt atau gimanaemang cuma butuh kode yg tepat untuk ngeluarin potensi terbaik Eman dan nnael,tetap low profile nnaelkami yakin lu bisa dapat mencapai yg lebih tinggi bareng btr senang banget liat momen menang nnael menang tanpa taunt atau gimanaemang cuma butuh kode yg tepat untuk ngeluarin potensi terbaik eman dan nnael,"['tetap', 'low', 'profile', 'nnaelkami', 'yakin', 'lu', 'bisa', 'dapat', 'mencapai', 'yg', 'lebih', 'tinggi', 'bareng', 'btr', 'senang', 'banget', 'liat', 'momen', 'menang', 'nnael', 'menang', 'tanpa', 'taunt', 'atau', 'gimanaemang', 'cuma', 'butuh', 'kode', 'yg', 'tepat', 'untuk', 'ngeluarin', 'potensi', 'terbaik', 'eman', 'dan', 'nnael']","['tetap', 'low', 'profile', 'nnaelkami', 'yakin', 'lu', 'bisa', 'dapat', 'mencapai', 'yang', 'lebih', 'tinggi', 'bareng', 'btr', 'senang', 'banget', 'liat', 'momen', 'menang', 'nnael', 'menang', 'tanpa', 'taunt', 'atau', 'gimanaemang', 'cuma', 'butuh', 'kode', 'yang', 'tepat', 'untuk', 'ngeluarin', 'potensi', 'terbaik', 'eman', 'dan', 'nnael']",Non-Toxic
BTR memecahkan kutukan playoffs dan Liga Tani ONIC 🥶🔥🔥,BTR memecahkan kutukan playoffs dan Liga Tani ONIC,btr memecahkan kutukan playoffs dan liga tani onic,"['btr', 'memecahkan', 'kutukan', 'playoffs', 'dan', 'liga', 'tani', 'onic']","['btr', 'memecahkan', 'kutukan', 'playoffs', 'dan', 'liga', 'tani', 'onic']",Non-Toxic
